repository,file_path,language,extension,loc,size_bytes
pytest,testing\test_nodes.py,Python,.py,130,5568
pytest,testing\test_parseopt.py,Python,.py,339,16605
pytest,testing\test_pastebin.py,Python,.py,180,7317
pytest,testing\test_pathlib.py,Python,.py,1544,65939
pytest,testing\test_pluginmanager.py,Python,.py,505,21581
pytest,testing\test_pytester.py,Python,.py,708,29067
pytest,testing\test_python_path.py,Python,.py,103,4195
pytest,testing\test_recwarn.py,Python,.py,542,25350
pytest,testing\test_reports.py,Python,.py,542,24271
pytest,testing\test_runner.py,Python,.py,1091,41750
pytest,testing\test_runner_xunit.py,Python,.py,241,8154
pytest,testing\test_scope.py,Python,.py,28,1423
pytest,testing\test_session.py,Python,.py,415,16020
pytest,testing\test_setuponly.py,Python,.py,273,8546
pytest,testing\test_setupplan.py,Python,.py,103,3656
pytest,testing\test_skipping.py,Python,.py,1397,47170
pytest,testing\test_stash.py,Python,.py,59,1945
pytest,testing\test_stepwise.py,Python,.py,455,16995
pytest,testing\test_subtests.py,Python,.py,940,35923
pytest,testing\test_terminal.py,Python,.py,3156,122566
pytest,testing\test_threadexception.py,Python,.py,210,7437
pytest,testing\test_tmpdir.py,Python,.py,747,30851
pytest,testing\test_unittest.py,Python,.py,1481,53121
pytest,testing\test_unraisableexception.py,Python,.py,433,17216
pytest,testing\test_warnings.py,Python,.py,1010,40376
pytest,testing\test_warning_types.py,Python,.py,41,1558
pytest,testing\typing_checks.py,Python,.py,54,2005
pytest,testing\typing_raises_group.py,Python,.py,176,8604
pytest,testing\code\test_code.py,Python,.py,165,6260
pytest,testing\code\test_excinfo.py,Python,.py,1979,79483
pytest,testing\code\test_source.py,Python,.py,560,19047
pytest,testing\examples\test_issue519.py,Python,.py,6,248
pytest,testing\example_scripts\issue_519.py,Python,.py,38,1510
pytest,testing\example_scripts\__init__.py,Python,.py,0,0
pytest,testing\example_scripts\acceptance\fixture_mock_integration.py,Python,.py,12,380
pytest,testing\example_scripts\collect\collect_init_tests\tests\test_foo.py,Python,.py,4,95
pytest,testing\example_scripts\collect\collect_init_tests\tests\__init__.py,Python,.py,4,96
pytest,testing\example_scripts\collect\package_infinite_recursion\conftest.py,Python,.py,4,131
pytest,testing\example_scripts\collect\package_infinite_recursion\tests\test_basic.py,Python,.py,4,91
pytest,testing\example_scripts\collect\package_infinite_recursion\tests\__init__.py,Python,.py,0,0
pytest,testing\example_scripts\collect\package_init_given_as_arg\pkg\test_foo.py,Python,.py,4,95
pytest,testing\example_scripts\collect\package_init_given_as_arg\pkg\__init__.py,Python,.py,4,96
pytest,testing\example_scripts\config\collect_pytest_prefix\conftest.py,Python,.py,3,75
pytest,testing\example_scripts\config\collect_pytest_prefix\test_foo.py,Python,.py,4,95
pytest,testing\example_scripts\conftest_usageerror\conftest.py,Python,.py,7,235
pytest,testing\example_scripts\customdirectory\conftest.py,Python,.py,19,718
pytest,testing\example_scripts\customdirectory\tests\test_first.py,Python,.py,5,121
pytest,testing\example_scripts\customdirectory\tests\test_second.py,Python,.py,5,122
pytest,testing\example_scripts\customdirectory\tests\test_third.py,Python,.py,5,121
pytest,testing\example_scripts\dataclasses\test_compare_dataclasses.py,Python,.py,11,355
pytest,testing\example_scripts\dataclasses\test_compare_dataclasses_field_comparison_off.py,Python,.py,11,398
pytest,testing\example_scripts\dataclasses\test_compare_dataclasses_verbose.py,Python,.py,11,363
pytest,testing\example_scripts\dataclasses\test_compare_dataclasses_with_custom_eq.py,Python,.py,13,444
pytest,testing\example_scripts\dataclasses\test_compare_initvar.py,Python,.py,10,275
pytest,testing\example_scripts\dataclasses\test_compare_recursive_dataclasses.py,Python,.py,35,661
pytest,testing\example_scripts\dataclasses\test_compare_two_different_dataclasses.py,Python,.py,15,539
pytest,testing\example_scripts\doctest\main_py\test_normal_module.py,Python,.py,8,147
pytest,testing\example_scripts\doctest\main_py\__main__.py,Python,.py,4,114
pytest,testing\example_scripts\fixtures\test_fixture_named_request.py,Python,.py,8,155
pytest,testing\example_scripts\fixtures\test_getfixturevalue_dynamic.py,Python,.py,14,344
pytest,testing\example_scripts\fixtures\custom_item\conftest.py,Python,.py,11,393
pytest,testing\example_scripts\fixtures\custom_item\foo\test_foo.py,Python,.py,4,91
pytest,testing\example_scripts\fixtures\custom_item\foo\__init__.py,Python,.py,0,0
pytest,testing\example_scripts\fixtures\fill_fixtures\test_detect_recursive_dependency_error.py,Python,.py,11,216
pytest,testing\example_scripts\fixtures\fill_fixtures\test_extend_fixture_module_class.py,Python,.py,12,297
pytest,testing\example_scripts\fixtures\fill_fixtures\test_funcarg_basic.py,Python,.py,11,260
pytest,testing\example_scripts\fixtures\fill_fixtures\test_funcarg_lookupfails.py,Python,.py,8,181
pytest,testing\example_scripts\fixtures\fill_fixtures\test_funcarg_lookup_classlevel.py,Python,.py,9,267
pytest,testing\example_scripts\fixtures\fill_fixtures\test_funcarg_lookup_modulelevel.py,Python,.py,11,337
pytest,testing\example_scripts\fixtures\fill_fixtures\test_conftest_funcargs_only_available_in_subdir\sub1\conftest.py,Python,.py,7,215
pytest,testing\example_scripts\fixtures\fill_fixtures\test_conftest_funcargs_only_available_in_subdir\sub1\test_in_sub1.py,Python,.py,4,97
pytest,testing\example_scripts\fixtures\fill_fixtures\test_conftest_funcargs_only_available_in_subdir\sub1\__init__.py,Python,.py,0,0
pytest,testing\example_scripts\fixtures\fill_fixtures\test_conftest_funcargs_only_available_in_subdir\sub2\conftest.py,Python,.py,8,257
pytest,testing\example_scripts\fixtures\fill_fixtures\test_conftest_funcargs_only_available_in_subdir\sub2\test_in_sub2.py,Python,.py,4,97
pytest,testing\example_scripts\fixtures\fill_fixtures\test_conftest_funcargs_only_available_in_subdir\sub2\__init__.py,Python,.py,0,0
pytest,testing\example_scripts\fixtures\fill_fixtures\test_extend_fixture_conftest_conftest\conftest.py,Python,.py,6,134
pytest,testing\example_scripts\fixtures\fill_fixtures\test_extend_fixture_conftest_conftest\pkg\conftest.py,Python,.py,6,140
pytest,testing\example_scripts\fixtures\fill_fixtures\test_extend_fixture_conftest_conftest\pkg\test_spam.py,Python,.py,4,121
pytest,testing\example_scripts\fixtures\fill_fixtures\test_extend_fixture_conftest_conftest\pkg\__init__.py,Python,.py,0,0
pytest,testing\example_scripts\fixtures\fill_fixtures\test_extend_fixture_conftest_module\conftest.py,Python,.py,6,134
pytest,testing\example_scripts\fixtures\fill_fixtures\test_extend_fixture_conftest_module\test_extend_fixture_conftest_module.py,Python,.py,8,197
pytest,testing\example_scripts\issue88_initial_file_multinodes\conftest.py,Python,.py,11,405
pytest,testing\example_scripts\issue88_initial_file_multinodes\test_hello.py,Python,.py,4,97
pytest,testing\example_scripts\marks\marks_considered_keywords\conftest.py,Python,.py,0,0
pytest,testing\example_scripts\marks\marks_considered_keywords\test_marks_as_keywords.py,Python,.py,6,131
pytest,testing\example_scripts\perf_examples\collect_stats\generate_folders.py,Python,.py,23,950
pytest,testing\example_scripts\perf_examples\collect_stats\template_test.py,Python,.py,4,93
pytest,testing\example_scripts\tmpdir\tmp_path_fixture.py,Python,.py,7,236
pytest,testing\example_scripts\unittest\test_parametrized_fixture_error_message.py,Python,.py,11,302
pytest,testing\example_scripts\unittest\test_setup_skip.py,Python,.py,11,360
pytest,testing\example_scripts\unittest\test_setup_skip_class.py,Python,.py,12,387
pytest,testing\example_scripts\unittest\test_setup_skip_module.py,Python,.py,10,313
pytest,testing\example_scripts\unittest\test_unittest_asyncio.py,Python,.py,17,657
pytest,testing\example_scripts\unittest\test_unittest_asynctest.py,Python,.py,16,496
pytest,testing\example_scripts\unittest\test_unittest_plain_async.py,Python,.py,6,172
pytest,testing\example_scripts\warnings\test_group_warnings_by_message.py,Python,.py,14,357
pytest,testing\example_scripts\warnings\test_group_warnings_by_message_summary\test_1.py,Python,.py,14,359
pytest,testing\example_scripts\warnings\test_group_warnings_by_message_summary\test_2.py,Python,.py,5,127
pytest,testing\freeze\create_executable.py,Python,.py,11,479
pytest,testing\freeze\runtests_script.py,Python,.py,9,244
pytest,testing\freeze\tox_run.py,Python,.py,13,441
pytest,testing\freeze\tests\test_trivial.py,Python,.py,6,180
pytest,testing\io\test_pprint.py,Python,.py,662,21717
pytest,testing\io\test_saferepr.py,Python,.py,168,6362
pytest,testing\io\test_terminalwriter.py,Python,.py,259,10200
pytest,testing\io\test_wcwidth.py,Python,.py,35,901
pytest,testing\logging\test_fixture.py,Python,.py,425,18871
pytest,testing\logging\test_formatter.py,Python,.py,153,5594
pytest,testing\logging\test_reporting.py,Python,.py,1333,50158
pytest,testing\plugins_integration\bdd_wallet.py,Python,.py,27,723
pytest,testing\plugins_integration\django_settings.py,Python,.py,2,65
pytest,testing\plugins_integration\pytest_anyio_integration.py,Python,.py,7,172
pytest,testing\plugins_integration\pytest_asyncio_integration.py,Python,.py,7,178
pytest,testing\plugins_integration\pytest_mock_integration.py,Python,.py,4,118
pytest,testing\plugins_integration\pytest_rerunfailures_integration.py,Python,.py,9,317
pytest,testing\plugins_integration\pytest_trio_integration.py,Python,.py,7,169
pytest,testing\plugins_integration\pytest_twisted_integration.py,Python,.py,13,437
pytest,testing\plugins_integration\simple_integration.py,Python,.py,8,199
pytest,testing\python\approx.py,Python,.py,1497,67984
pytest,testing\python\collect.py,Python,.py,1537,58168
pytest,testing\python\fixtures.py,Python,.py,5420,201474
pytest,testing\python\integration.py,Python,.py,394,14541
pytest,testing\python\metafunc.py,Python,.py,2178,87501
pytest,testing\python\raises.py,Python,.py,435,19765
pytest,testing\python\raises_group.py,Python,.py,1231,57265
